circuitId,driverId1,driverStanding1,constructorStanding1,position1,inPit1,status1,laptime1,driverId2,driverStanding2,constructorStanding2,position2,inPit2,status2,laptime2,driverId3,driverStanding3,constructorStanding3,position3,inPit3,status3,laptime3,driverId4,driverStanding4,constructorStanding4,position4,inPit4,status4,laptime4,driverId5,driverStanding5,constructorStanding5,position5,inPit5,status5,laptime5,driverId6,driverStanding6,constructorStanding6,position6,inPit6,status6,laptime6,driverId7,driverStanding7,constructorStanding7,position7,inPit7,status7,laptime7,driverId8,driverStanding8,constructorStanding8,position8,inPit8,status8,laptime8,driverId9,driverStanding9,constructorStanding9,position9,inPit9,status9,laptime9,driverId10,driverStanding10,constructorStanding10,position10,inPit10,status10,laptime10,driverId11,driverStanding11,constructorStanding11,position11,inPit11,status11,laptime11,driverId12,driverStanding12,constructorStanding12,position12,inPit12,status12,laptime12,driverId13,driverStanding13,constructorStanding13,position13,inPit13,status13,laptime13,driverId14,driverStanding14,constructorStanding14,position14,inPit14,status14,laptime14,driverId15,driverStanding15,constructorStanding15,position15,inPit15,status15,laptime15,driverId16,driverStanding16,constructorStanding16,position16,inPit16,status16,laptime16,driverId17,driverStanding17,constructorStanding17,position17,inPit17,status17,laptime17,driverId18,driverStanding18,constructorStanding18,position18,inPit18,status18,laptime18,driverId19,driverStanding19,constructorStanding19,position19,inPit19,status19,laptime19,driverId20,driverStanding20,constructorStanding20,position20,inPit20,status20,laptime20
15,4,3,3,1,0,0,105.39,20,5,1,2,0,0,105.457,1,2,2,3,0,0,105.571,18,4,2,4,0,0,105.944,17,1,1,5,0,0,105.977,22,11,7,6,0,0,106.236,3,7,4,7,0,0,106.443,9,8,5,8,0,0,106.593,30,9,4,9,0,0,106.702,155,12,8,10,0,0,107.884,153,18,9,11,0,0,107.666,808,13,5,13,0,0,108.165,67,16,9,14,0,0,108.502,2,20,8,15,0,0,108.557,16,10,6,16,0,0,108.899,24,15,6,17,0,0,108.961,807,14,7,12,0,0,107.674,10,24,12,18,0,0,110.271,5,19,10,19,0,0,110.915,810,21,12,20,0,0,111.107
15,4,3,3,1,0,0,116.343,20,5,1,2,0,0,117.389,1,2,2,3,0,0,118.445,18,4,2,4,0,0,119.87,17,1,1,5,0,0,120.834,22,11,7,8,0,0,123.705,3,7,4,6,0,0,121.621,9,8,5,7,0,0,122.249,30,9,4,9,0,0,124.294,155,12,8,11,0,0,125.355,153,18,9,21,0,0,132.562,808,13,5,10,0,0,124.974,67,16,9,12,0,0,126.016,2,20,8,24,0,0,158.466,16,10,6,14,0,0,127.182,24,15,6,15,0,4,0.0,807,14,7,13,0,0,126.583,10,24,12,18,0,0,129.976,5,19,10,16,0,0,129.367,810,21,12,20,0,0,132.283
15,4,3,3,1,0,0,114.285,20,5,1,2,0,0,114.395,1,2,2,3,0,0,114.891,18,4,2,4,0,0,115.647,17,1,1,5,0,0,115.429,22,11,7,8,0,0,116.173,3,7,4,6,0,0,116.023,9,8,5,7,0,0,116.038,30,9,4,9,0,0,116.335,155,12,8,11,0,0,117.303,153,18,9,19,0,0,120.082,808,13,5,10,0,0,117.048,67,16,9,12,0,0,117.381,2,20,8,23,0,0,163.513,16,10,6,14,0,0,117.685,24,15,6,21,0,4,0.0,807,14,7,13,0,0,117.318,10,24,12,16,0,0,118.931,5,19,10,15,0,0,119.142,810,21,12,20,0,0,121.191
15,4,3,3,1,0,0,126.905,20,5,1,2,0,0,126.841,1,2,2,3,0,0,126.544,18,4,2,4,0,0,124.806,17,1,1,9,0,0,131.491,22,11,7,7,0,0,124.952,3,7,4,5,0,0,125.151,9,8,5,6,0,0,125.212,30,9,4,8,0,0,124.782,155,12,8,10,0,0,126.266,153,18,9,18,0,0,138.094,808,13,5,12,0,0,132.755,67,16,9,13,0,0,133.28,2,20,8,23,0,0,139.591,16,10,6,15,0,0,132.75,24,15,6,21,0,4,0.0,807,14,7,14,0,0,133.225,10,24,12,11,0,0,125.697,5,19,10,16,0,0,131.654,810,21,12,20,0,0,138.531
15,4,3,3,1,0,0,158.313,20,5,1,2,0,0,158.142,1,2,2,3,0,0,157.952,18,4,2,4,0,0,158.53199999999998,17,1,1,11,0,0,159.216,22,11,7,7,0,0,157.207,3,7,4,5,0,0,157.223,9,8,5,6,0,0,157.393,30,9,4,8,0,0,157.144,155,12,8,9,0,0,154.397,153,18,9,19,0,0,146.22899999999998,808,13,5,12,0,0,154.478,67,16,9,16,0,0,155.962,2,20,8,23,0,0,115.35,16,10,6,14,0,0,153.421,24,15,6,21,0,4,0.0,807,14,7,13,0,0,152.713,10,24,12,10,0,0,151.278,5,19,10,17,0,0,153.788,810,21,12,20,0,0,153.266
15,4,3,3,1,0,0,161.259,20,5,1,2,0,0,161.042,1,2,2,3,0,0,160.912,18,4,2,4,0,0,160.53,17,1,1,11,0,0,156.716,22,11,7,7,0,0,159.21,3,7,4,5,0,0,159.971,9,8,5,6,0,0,159.714,30,9,4,8,0,0,159.668,155,12,8,9,0,0,159.245,153,18,9,19,0,0,151.92000000000002,808,13,5,12,0,0,155.234,67,16,9,16,0,0,154.315,2,20,8,23,0,0,116.322,16,10,6,14,0,0,154.87,24,15,6,21,0,4,0.0,807,14,7,13,0,0,155.163,10,24,12,10,0,0,157.576,5,19,10,17,0,0,154.159,810,21,12,20,0,0,144.53
15,4,3,3,1,0,0,113.462,20,5,1,2,0,0,113.999,1,2,2,3,0,0,114.538,18,4,2,4,0,0,115.409,17,1,1,10,0,0,116.267,22,11,7,7,0,0,116.404,3,7,4,5,0,0,115.627,9,8,5,6,0,0,115.65,30,9,4,8,0,0,116.104,155,12,8,9,0,0,116.997,153,18,9,17,0,0,116.939,808,13,5,12,0,0,117.927,67,16,9,16,0,0,117.741,2,20,8,22,0,0,119.04,16,10,6,14,0,0,117.755,24,15,6,21,0,4,0.0,807,14,7,13,0,0,117.997,10,24,12,11,0,0,118.563,5,19,10,18,0,0,119.052,810,21,12,19,0,0,118.572
15,4,3,3,1,0,0,113.117,20,5,1,2,0,0,113.269,1,2,2,3,0,0,113.537,18,4,2,4,0,0,114.499,17,1,1,9,0,0,115.039,22,11,7,7,0,0,115.789,3,7,4,5,0,0,114.687,9,8,5,6,0,0,114.892,30,9,4,8,0,0,115.847,155,12,8,10,0,0,116.654,153,18,9,17,0,0,117.611,808,13,5,15,0,0,119.877,67,16,9,16,0,0,118.236,2,20,8,22,0,0,119.79,16,10,6,12,0,0,116.185,24,15,6,21,0,4,0.0,807,14,7,13,0,0,117.508,10,24,12,11,0,0,116.74,5,19,10,18,0,0,118.334,810,21,12,19,0,0,118.057
15,4,3,3,1,0,0,113.204,20,5,1,2,0,0,113.15,1,2,2,3,0,0,113.326,18,4,2,4,0,0,113.89,17,1,1,9,0,0,115.173,22,11,7,7,0,0,115.45,3,7,4,5,0,0,114.203,9,8,5,6,0,0,114.308,30,9,4,8,0,0,115.401,155,12,8,10,0,0,114.975,153,18,9,17,0,0,115.702,808,13,5,15,0,0,115.201,67,16,9,16,0,0,115.479,2,20,8,21,0,0,116.398,16,10,6,12,0,0,115.471,24,15,6,21,0,4,0.0,807,14,7,13,0,0,115.264,10,24,12,11,0,0,115.923,5,19,10,18,0,0,117.187,810,21,12,19,0,0,117.578
15,4,3,3,1,0,0,113.606,20,5,1,2,0,0,113.67,1,2,2,3,0,0,113.567,18,4,2,4,0,0,113.791,17,1,1,9,0,0,114.775,22,11,7,7,0,0,114.551,3,7,4,5,0,0,113.879,9,8,5,6,0,0,114.056,30,9,4,8,0,0,114.828,155,12,8,10,0,0,115.048,153,18,9,17,0,0,115.487,808,13,5,15,0,0,115.837,67,16,9,16,0,0,115.456,2,20,8,20,0,0,115.948,16,10,6,12,0,0,116.067,24,15,6,21,0,4,0.0,807,14,7,13,0,0,116.117,10,24,12,11,0,0,116.238,5,19,10,18,0,0,116.697,810,21,12,19,0,0,116.995
