circuitId,driverId1,driverStanding1,constructorStanding1,position1,inPit1,status1,laptime1,driverId2,driverStanding2,constructorStanding2,position2,inPit2,status2,laptime2,driverId3,driverStanding3,constructorStanding3,position3,inPit3,status3,laptime3,driverId4,driverStanding4,constructorStanding4,position4,inPit4,status4,laptime4,driverId5,driverStanding5,constructorStanding5,position5,inPit5,status5,laptime5,driverId6,driverStanding6,constructorStanding6,position6,inPit6,status6,laptime6,driverId7,driverStanding7,constructorStanding7,position7,inPit7,status7,laptime7,driverId8,driverStanding8,constructorStanding8,position8,inPit8,status8,laptime8,driverId9,driverStanding9,constructorStanding9,position9,inPit9,status9,laptime9,driverId10,driverStanding10,constructorStanding10,position10,inPit10,status10,laptime10,driverId11,driverStanding11,constructorStanding11,position11,inPit11,status11,laptime11,driverId12,driverStanding12,constructorStanding12,position12,inPit12,status12,laptime12,driverId13,driverStanding13,constructorStanding13,position13,inPit13,status13,laptime13,driverId14,driverStanding14,constructorStanding14,position14,inPit14,status14,laptime14,driverId15,driverStanding15,constructorStanding15,position15,inPit15,status15,laptime15,driverId16,driverStanding16,constructorStanding16,position16,inPit16,status16,laptime16,driverId17,driverStanding17,constructorStanding17,position17,inPit17,status17,laptime17,driverId18,driverStanding18,constructorStanding18,position18,inPit18,status18,laptime18,driverId19,driverStanding19,constructorStanding19,position19,inPit19,status19,laptime19,driverId20,driverStanding20,constructorStanding20,position20,inPit20,status20,laptime20
20,1,4,2,1,0,0,89.398,20,1,1,2,0,0,89.501,17,5,1,3,0,0,89.608,8,3,4,4,0,0,89.892,154,9,4,5,0,0,89.959,817,14,7,6,0,0,90.528,13,7,3,7,0,0,91.126,4,2,3,8,0,0,91.209,18,10,6,9,0,0,90.269,807,15,8,10,0,0,90.231,3,6,2,11,0,0,90.326,814,8,5,12,0,0,90.697,815,13,6,13,0,0,90.933,821,18,8,14,0,0,91.01,16,11,5,15,0,0,91.01,818,12,7,16,0,0,91.104,822,17,9,17,0,0,91.693,813,16,9,18,0,0,91.707,824,19,10,20,0,0,93.063,823,22,11,21,0,0,93.734
20,1,4,2,3,0,0,100.632,20,1,1,1,0,0,99.144,17,5,1,2,0,0,99.86,8,3,4,4,0,0,101.1,154,9,4,5,0,0,101.977,817,14,7,7,0,0,103.464,13,7,3,6,0,0,102.96,4,2,3,8,0,0,104.159,18,10,6,9,0,0,104.806,807,15,8,11,0,0,105.71,3,6,2,12,0,0,106.209,814,8,5,14,0,0,106.799,815,13,6,10,0,0,105.042,821,18,8,16,0,0,108.68,16,11,5,13,0,0,106.599,818,12,7,18,0,0,109.178,822,17,9,19,0,0,109.722,813,16,9,15,0,0,108.406,824,19,10,20,0,0,110.319,823,22,11,17,0,0,108.928
20,1,4,2,3,0,0,98.432,20,1,1,1,0,0,98.015,17,5,1,2,0,0,98.289,8,3,4,4,0,0,98.718,154,9,4,5,0,0,98.553,817,14,7,7,0,0,99.38,13,7,3,6,0,0,99.225,4,2,3,8,0,0,99.596,18,10,6,10,0,0,100.607,807,15,8,11,0,0,100.273,3,6,2,12,0,0,100.518,814,8,5,13,0,0,100.496,815,13,6,9,0,0,99.488,821,18,8,16,0,0,100.758,16,11,5,14,0,0,101.148,818,12,7,18,0,0,101.528,822,17,9,19,0,0,102.1,813,16,9,15,0,0,100.592,824,19,10,20,0,0,102.143,823,22,11,17,0,0,101.413
20,1,4,2,3,0,0,97.658,20,1,1,1,0,0,97.55,17,5,1,2,0,0,97.487,8,3,4,4,0,0,97.509,154,9,4,5,0,0,97.592,817,14,7,7,0,0,98.952,13,7,3,6,0,20,0.0,4,2,3,8,0,0,98.882,18,10,6,10,0,0,99.284,807,15,8,11,0,0,99.298,3,6,2,12,0,0,99.522,814,8,5,13,1,0,99.556,815,13,6,9,0,0,98.838,821,18,8,16,0,0,99.773,16,11,5,14,0,0,99.54,818,12,7,18,1,0,100.6,822,17,9,19,0,0,100.425,813,16,9,15,0,0,99.8,824,19,10,20,0,0,100.56,823,22,11,17,0,0,100.583
20,1,4,2,3,0,0,97.758,20,1,1,1,0,0,97.427,17,5,1,2,0,0,97.619,8,3,4,4,0,0,98.082,154,9,4,5,0,0,97.867,817,14,7,6,1,0,98.431,13,7,3,21,0,20,0.0,4,2,3,7,0,0,99.054,18,10,6,9,0,0,99.194,807,15,8,10,0,0,99.269,3,6,2,11,0,0,99.449,814,8,5,13,0,0,101.742,815,13,6,8,0,0,99.106,821,18,8,15,0,0,100.072,16,11,5,12,1,0,99.617,818,12,7,19,0,0,103.828,822,17,9,17,0,0,101.044,813,16,9,14,0,0,100.017,824,19,10,18,1,0,101.155,823,22,11,16,1,0,101.239
20,1,4,2,3,1,0,97.985,20,1,1,1,0,0,97.802,17,5,1,2,0,0,97.629,8,3,4,4,0,0,97.863,154,9,4,5,0,0,98.019,817,14,7,8,0,0,101.631,13,7,3,21,0,20,0.0,4,2,3,6,0,0,98.439,18,10,6,9,0,0,99.279,807,15,8,10,0,0,99.399,3,6,2,11,0,0,99.674,814,8,5,19,0,0,115.818,815,13,6,7,0,0,98.879,821,18,8,14,1,0,99.347,16,11,5,12,0,0,100.928,818,12,7,20,0,0,118.718,822,17,9,15,0,0,99.835,813,16,9,13,0,0,99.495,824,19,10,17,0,0,102.374,823,22,11,16,0,0,102.586
20,1,4,2,5,0,0,99.711,20,1,1,1,1,0,97.9,17,5,1,2,0,0,97.938,8,3,4,3,0,0,98.134,154,9,4,4,0,0,98.124,817,14,7,14,0,0,115.702,13,7,3,21,0,20,0.0,4,2,3,6,0,0,98.434,18,10,6,8,0,0,98.744,807,15,8,9,0,0,98.833,3,6,2,10,0,0,98.882,814,8,5,17,0,0,98.775,815,13,6,7,1,0,98.479,821,18,8,12,0,0,102.053,16,11,5,16,0,0,114.27,818,12,7,19,0,0,99.746,822,17,9,13,0,0,99.686,813,16,9,11,0,0,99.604,824,19,10,20,0,0,118.423,823,22,11,18,0,0,118.279
20,1,4,2,10,0,0,112.906,20,1,1,2,0,0,99.996,17,5,1,1,1,0,97.687,8,3,4,3,1,0,97.515,154,9,4,4,0,0,97.598,817,14,7,13,0,0,98.864,13,7,3,21,0,20,0.0,4,2,3,5,0,0,98.333,18,10,6,6,0,0,98.661,807,15,8,8,0,0,98.591,3,6,2,9,0,0,98.89,814,8,5,16,0,0,98.875,815,13,6,7,0,0,100.76,821,18,8,17,0,0,114.511,16,11,5,15,0,0,98.326,818,12,7,19,0,0,100.282,822,17,9,12,0,0,99.443,813,16,9,11,0,0,99.758,824,19,10,20,0,0,100.822,823,22,11,18,0,0,100.423
20,1,4,2,9,0,0,98.239,20,1,1,7,0,0,112.759,17,5,1,1,0,0,100.092,8,3,4,3,0,0,100.378,154,9,4,2,0,0,97.743,817,14,7,12,0,0,98.814,13,7,3,21,0,20,0.0,4,2,3,4,0,0,98.401,18,10,6,5,0,0,98.734,807,15,8,6,0,0,98.839,3,6,2,8,0,0,99.366,814,8,5,15,0,0,99.392,815,13,6,13,0,0,115.305,821,18,8,16,0,0,98.656,16,11,5,14,0,0,98.508,818,12,7,18,0,0,100.709,822,17,9,11,0,0,99.476,813,16,9,10,0,0,99.659,824,19,10,20,0,0,100.867,823,22,11,19,0,0,101.745
20,1,4,2,7,0,0,98.425,20,1,1,5,0,0,98.849,17,5,1,21,0,0,257.666,8,3,4,8,0,0,112.849,154,9,4,1,0,0,97.276,817,14,7,11,0,0,98.669,13,7,3,21,0,20,0.0,4,2,3,2,0,0,98.416,18,10,6,3,0,0,98.575,807,15,8,4,0,0,98.873,3,6,2,6,0,0,98.817,814,8,5,14,0,0,98.528,815,13,6,12,0,0,98.637,821,18,8,15,0,0,98.642,16,11,5,13,0,0,98.446,818,12,7,16,0,0,99.398,822,17,9,10,0,0,99.06,813,16,9,9,0,0,99.318,824,19,10,18,0,0,100.986,823,22,11,17,0,0,101.105
20,1,4,2,7,0,0,98.912,20,1,1,4,0,0,97.591,17,5,1,21,0,0,97.121,8,3,4,8,0,0,99.124,154,9,4,1,0,0,97.584,817,14,7,11,0,0,98.733,13,7,3,21,0,20,0.0,4,2,3,2,0,0,98.316,18,10,6,3,0,0,98.673,807,15,8,5,0,0,99.393,3,6,2,6,0,0,98.882,814,8,5,14,0,0,98.675,815,13,6,12,0,0,98.829,821,18,8,15,0,0,98.543,16,11,5,13,0,0,98.582,818,12,7,16,0,0,99.495,822,17,9,10,0,0,99.297,813,16,9,9,0,0,99.375,824,19,10,18,0,0,100.924,823,22,11,17,0,0,100.8
20,1,4,2,7,0,0,99.238,20,1,1,3,0,0,97.529,17,5,1,21,0,0,98.757,8,3,4,8,0,0,99.041,154,9,4,1,0,0,97.643,817,14,7,11,0,0,98.741,13,7,3,21,0,20,0.0,4,2,3,2,1,0,98.374,18,10,6,4,0,0,99.495,807,15,8,5,0,0,98.636,3,6,2,6,0,0,98.864,814,8,5,14,0,0,98.829,815,13,6,12,0,0,98.663,821,18,8,15,0,0,98.206,16,11,5,13,0,0,99.009,818,12,7,16,0,0,99.437,822,17,9,10,0,0,99.269,813,16,9,9,0,0,99.303,824,19,10,18,0,0,101.013,823,22,11,17,0,0,100.987
20,1,4,2,7,0,0,98.407,20,1,1,3,0,0,97.345,17,5,1,21,0,0,98.522,8,3,4,8,0,0,98.438,154,9,4,1,1,0,97.989,817,14,7,11,0,0,98.539,13,7,3,21,0,20,0.0,4,2,3,2,0,0,100.579,18,10,6,4,0,0,98.522,807,15,8,5,0,0,99.001,3,6,2,6,0,0,98.809,814,8,5,14,0,0,98.904,815,13,6,12,0,0,98.55,821,18,8,15,0,0,98.642,16,11,5,13,0,0,98.845,818,12,7,16,0,0,99.281,822,17,9,10,0,0,99.222,813,16,9,9,0,0,99.201,824,19,10,18,0,0,101.697,823,22,11,17,0,0,100.978
20,1,4,2,6,0,0,98.976,20,1,1,2,0,0,97.507,17,5,1,21,0,0,97.356,8,3,4,7,0,0,98.98,154,9,4,1,0,0,100.532,817,14,7,11,0,0,99.081,13,7,3,21,0,20,0.0,4,2,3,9,0,0,113.255,18,10,6,3,0,0,98.212,807,15,8,4,0,0,98.914,3,6,2,5,0,0,98.953,814,8,5,14,0,0,98.914,815,13,6,12,0,0,99.032,821,18,8,15,0,0,98.553,16,11,5,13,0,0,98.881,818,12,7,16,0,0,99.506,822,17,9,10,0,0,99.285,813,16,9,8,0,0,99.162,824,19,10,18,0,0,101.041,823,22,11,17,0,0,101.28
20,1,4,2,5,0,0,98.437,20,1,1,1,0,0,97.647,17,5,1,21,0,0,97.378,8,3,4,6,0,0,100.336,154,9,4,2,0,0,112.897,817,14,7,11,0,0,99.182,13,7,3,21,0,20,0.0,4,2,3,8,0,0,97.681,18,10,6,3,0,0,99.492,807,15,8,4,0,0,99.304,3,6,2,7,0,0,101.753,814,8,5,14,0,0,98.801,815,13,6,12,0,0,99.222,821,18,8,15,0,0,98.253,16,11,5,13,0,0,98.726,818,12,7,16,0,0,99.948,822,17,9,10,0,0,99.113,813,16,9,9,0,0,100.231,824,19,10,18,0,0,100.966,823,22,11,17,0,0,101.145
20,1,4,2,5,0,0,98.656,20,1,1,1,0,0,97.592,17,5,1,21,0,0,97.655,8,3,4,6,0,0,97.511,154,9,4,2,0,0,96.757,817,14,7,11,0,0,99.233,13,7,3,21,0,20,0.0,4,2,3,8,0,0,97.6,18,10,6,3,0,0,98.515,807,15,8,4,0,0,99.118,3,6,2,7,1,0,99.436,814,8,5,14,0,0,98.733,815,13,6,12,0,0,99.22,821,18,8,15,0,0,98.808,16,11,5,13,0,0,98.571,818,12,7,16,0,0,99.307,822,17,9,10,0,0,99.011,813,16,9,9,0,0,99.205,824,19,10,18,0,0,101.026,823,22,11,17,0,0,100.81
20,1,4,2,5,0,0,98.803,20,1,1,1,0,0,97.468,17,5,1,21,0,0,96.99,8,3,4,6,0,0,98.075,154,9,4,2,0,0,97.533,817,14,7,11,0,0,99.118,13,7,3,21,0,20,0.0,4,2,3,7,0,0,97.529,18,10,6,3,0,0,98.754,807,15,8,4,1,0,99.261,3,6,2,8,0,0,101.836,814,8,5,14,0,0,98.882,815,13,6,12,0,0,99.095,821,18,8,15,0,0,98.905,16,11,5,13,0,0,98.702,818,12,7,16,0,0,99.878,822,17,9,10,0,0,99.351,813,16,9,9,0,0,99.334,824,19,10,18,0,0,100.704,823,22,11,17,0,0,100.823
20,1,4,2,4,0,0,98.658,20,1,1,1,0,0,97.711,17,5,1,21,0,0,97.551,8,3,4,5,0,0,98.808,154,9,4,2,0,0,97.026,817,14,7,10,1,0,99.203,13,7,3,21,0,20,0.0,4,2,3,7,0,0,97.037,18,10,6,3,0,0,98.376,807,15,8,6,0,0,101.301,3,6,2,15,0,0,113.865,814,8,5,13,0,0,98.885,815,13,6,11,0,0,99.327,821,18,8,14,0,0,98.762,16,11,5,12,0,0,98.378,818,12,7,16,0,0,100.151,822,17,9,9,0,0,98.858,813,16,9,8,0,0,99.144,824,19,10,18,1,0,101.147,823,22,11,17,0,0,101.283
20,1,4,2,5,0,0,99.172,20,1,1,1,0,0,97.155,17,5,1,21,0,0,97.976,8,3,4,4,0,0,97.874,154,9,4,2,0,0,97.13,817,14,7,11,0,0,101.979,13,7,3,21,0,20,0.0,4,2,3,6,0,0,97.436,18,10,6,3,0,0,98.497,807,15,8,12,0,0,115.718,3,6,2,15,0,0,98.301,814,8,5,13,0,0,99.902,815,13,6,9,0,0,99.122,821,18,8,14,0,0,100.063,16,11,5,10,0,0,99.237,818,12,7,16,0,0,99.76,822,17,9,8,0,0,99.857,813,16,9,7,0,0,99.309,824,19,10,19,0,0,102.468,823,22,11,17,1,0,101.039
20,1,4,2,5,0,0,98.405,20,1,1,1,0,0,97.835,17,5,1,21,0,0,98.355,8,3,4,4,0,0,97.269,154,9,4,2,0,0,97.304,817,14,7,15,0,0,115.297,13,7,3,21,0,20,0.0,4,2,3,6,0,0,98.357,18,10,6,3,0,0,98.632,807,15,8,11,0,0,97.818,3,6,2,14,0,0,98.939,814,8,5,12,0,0,99.231,815,13,6,9,0,0,98.948,821,18,8,13,0,0,99.157,16,11,5,10,0,0,99.104,818,12,7,16,0,0,99.685,822,17,9,8,0,0,100.05,813,16,9,7,0,0,99.645,824,19,10,20,0,0,116.542,823,22,11,18,0,0,103.413
20,1,4,2,5,0,0,99.046,20,1,1,1,0,0,97.561,17,5,1,21,0,0,97.423,8,3,4,4,0,0,97.378,154,9,4,2,0,0,97.333,817,14,7,15,0,0,99.663,13,7,3,21,0,20,0.0,4,2,3,6,0,0,98.93,18,10,6,3,1,0,98.787,807,15,8,11,0,0,97.757,3,6,2,14,0,0,99.077,814,8,5,12,0,0,98.982,815,13,6,9,0,0,100.056,821,18,8,13,0,0,99.428,16,11,5,10,0,0,99.653,818,12,7,16,0,0,99.715,822,17,9,8,0,0,100.172,813,16,9,7,1,0,99.811,824,19,10,19,0,0,99.844,823,22,11,20,0,0,117.904
20,1,4,2,5,1,0,99.087,20,1,1,1,0,0,97.386,17,5,1,21,0,0,97.249,8,3,4,3,0,0,97.675,154,9,4,2,0,0,97.374,817,14,7,15,0,0,98.908,13,7,3,21,0,20,0.0,4,2,3,6,0,0,99.135,18,10,6,4,0,0,101.856,807,15,8,9,0,0,97.944,3,6,2,13,0,0,98.387,814,8,5,12,0,0,98.831,815,13,6,8,0,0,98.203,821,18,8,14,1,0,100.085,16,11,5,10,0,0,100.248,818,12,7,16,0,0,100.363,822,17,9,11,1,0,102.384,813,16,9,7,0,0,101.731,824,19,10,18,0,5,0.0,823,22,11,19,0,0,100.16
20,1,4,2,5,0,0,101.322,20,1,1,1,0,0,97.651,17,5,1,20,1,0,98.305,8,3,4,3,0,0,96.985,154,9,4,2,0,0,97.551,817,14,7,15,0,0,98.266,13,7,3,21,0,20,0.0,4,2,3,4,0,0,98.925,18,10,6,6,0,0,114.46,807,15,8,8,0,0,98.693,3,6,2,11,0,0,99.334,814,8,5,10,0,0,99.807,815,13,6,7,0,0,98.686,821,18,8,13,0,0,102.791,16,11,5,9,0,0,98.786,818,12,7,16,0,9,0.0,822,17,9,12,0,0,102.951,813,16,9,14,0,0,113.715,824,19,10,21,0,5,0.0,823,22,11,18,0,0,101.74
20,1,4,2,8,0,0,113.578,20,1,1,1,1,0,97.616,17,5,1,19,0,0,118.894,8,3,4,3,1,0,97.712,154,9,4,2,1,0,98.247,817,14,7,13,0,0,99.121,13,7,3,21,0,20,0.0,4,2,3,4,1,0,97.605,18,10,6,5,0,0,97.584,807,15,8,7,0,0,98.571,3,6,2,11,1,0,99.504,814,8,5,10,1,0,99.433,815,13,6,6,1,0,98.507,821,18,8,14,0,0,113.96,16,11,5,9,1,0,99.668,818,12,7,21,0,9,0.0,822,17,9,15,0,0,130.099,813,16,9,12,0,0,98.496,824,19,10,21,0,5,0.0,823,22,11,17,0,0,102.757
20,1,4,2,7,0,0,112.243,20,1,1,1,0,0,103.445,17,5,1,19,0,0,135.991,8,3,4,3,0,0,106.502,154,9,4,2,0,0,104.224,817,14,7,13,0,0,117.156,13,7,3,21,0,20,0.0,4,2,3,4,0,0,109.719,18,10,6,5,0,0,111.966,807,15,8,6,0,0,113.144,3,6,2,11,0,0,118.288,814,8,5,10,0,0,118.453,815,13,6,8,0,0,115.147,821,18,8,14,0,0,119.06,16,11,5,9,0,0,115.101,818,12,7,21,0,9,0.0,822,17,9,15,0,0,121.701,813,16,9,12,0,0,116.146,824,19,10,21,0,5,0.0,823,22,11,17,0,0,121.554
20,1,4,2,7,0,0,122.971,20,1,1,1,0,0,161.413,17,5,1,19,0,0,110.464,8,3,4,3,0,0,148.628,154,9,4,2,0,0,159.86,817,14,7,11,0,0,122.256,13,7,3,21,0,20,0.0,4,2,3,4,0,0,139.877,18,10,6,5,0,0,126.726,807,15,8,6,0,0,123.365,3,6,2,13,0,0,137.248,814,8,5,12,0,0,136.064,815,13,6,9,0,0,136.511,821,18,8,14,0,0,123.408,16,11,5,10,0,0,133.943,818,12,7,21,0,9,0.0,822,17,9,15,0,0,123.543,813,16,9,8,0,0,120.565,824,19,10,21,0,5,0.0,823,22,11,16,0,0,102.003
20,1,4,2,7,0,0,140.308,20,1,1,1,0,0,142.608,17,5,1,19,0,0,99.826,8,3,4,3,0,0,141.948,154,9,4,2,0,0,142.024,817,14,7,11,0,0,122.913,13,7,3,21,0,20,0.0,4,2,3,4,0,0,141.181,18,10,6,5,0,0,140.0,807,15,8,6,0,0,140.055,3,6,2,13,0,0,120.293,814,8,5,12,0,0,121.081,815,13,6,9,0,0,127.818,821,18,8,14,0,0,114.62,16,11,5,10,0,0,127.383,818,12,7,21,0,9,0.0,822,17,9,15,0,0,110.512,813,16,9,8,0,0,127.715,824,19,10,21,0,5,0.0,823,22,11,16,0,0,102.021
20,1,4,2,7,0,0,142.105,20,1,1,1,0,0,141.749,17,5,1,19,0,0,96.908,8,3,4,3,0,0,142.681,154,9,4,2,0,0,142.212,817,14,7,11,0,0,141.996,13,7,3,21,0,20,0.0,4,2,3,4,0,0,142.421,18,10,6,5,0,0,141.982,807,15,8,6,0,0,142.034,3,6,2,13,0,0,141.894,814,8,5,12,0,0,141.899,815,13,6,9,0,0,142.201,821,18,8,14,0,0,141.835,16,11,5,10,0,0,142.362,818,12,7,21,0,9,0.0,822,17,9,15,0,0,130.749,813,16,9,8,0,0,141.612,824,19,10,21,0,5,0.0,823,22,11,16,0,0,130.537
20,1,4,2,7,0,0,140.686,20,1,1,1,0,0,141.51,17,5,1,19,0,0,97.491,8,3,4,3,0,0,140.807,154,9,4,2,0,0,141.281,817,14,7,11,0,0,140.787,13,7,3,21,0,20,0.0,4,2,3,4,0,0,141.187,18,10,6,5,0,0,141.103,807,15,8,6,0,0,140.969,3,6,2,13,0,0,140.39600000000002,814,8,5,12,0,0,140.462,815,13,6,9,0,0,140.543,821,18,8,14,0,0,140.448,16,11,5,10,0,0,140.348,818,12,7,21,0,9,0.0,822,17,9,15,0,0,140.537,813,16,9,8,0,0,140.608,824,19,10,21,0,5,0.0,823,22,11,16,0,0,140.54
20,1,4,2,7,0,0,144.264,20,1,1,1,0,0,145.669,17,5,1,19,0,0,135.825,8,3,4,3,0,0,144.814,154,9,4,2,0,0,145.078,817,14,7,11,0,0,142.851,13,7,3,21,0,20,0.0,4,2,3,4,0,0,144.41,18,10,6,5,0,0,144.526,807,15,8,6,0,0,144.329,3,6,2,13,0,0,142.159,814,8,5,12,0,0,142.434,815,13,6,9,0,0,143.697,821,18,8,14,0,0,142.029,16,11,5,10,0,0,143.52100000000002,818,12,7,21,0,9,0.0,822,17,9,15,0,0,141.672,813,16,9,8,0,0,144.623,824,19,10,21,0,5,0.0,823,22,11,16,0,0,140.867
20,1,4,2,7,0,0,98.367,20,1,1,1,0,0,96.549,17,5,1,15,0,0,98.807,8,3,4,3,0,0,97.135,154,9,4,2,0,0,96.702,817,14,7,11,0,0,99.631,13,7,3,21,0,20,0.0,4,2,3,4,0,0,97.241,18,10,6,5,0,0,97.82,807,15,8,6,0,0,98.334,3,6,2,13,0,0,99.949,814,8,5,12,0,0,99.882,815,13,6,9,0,0,99.298,821,18,8,14,0,0,99.932,16,11,5,10,0,0,99.333,818,12,7,21,0,9,0.0,822,17,9,16,0,0,101.481,813,16,9,8,0,0,98.961,824,19,10,21,0,5,0.0,823,22,11,17,0,0,101.883
20,1,4,2,7,0,0,97.317,20,1,1,1,0,0,95.893,17,5,1,15,0,0,97.81,8,3,4,3,0,0,96.017,154,9,4,2,0,0,95.935,817,14,7,11,0,0,98.164,13,7,3,21,0,20,0.0,4,2,3,4,0,0,96.547,18,10,6,5,0,0,96.977,807,15,8,6,0,0,97.146,3,6,2,13,0,0,98.34,814,8,5,12,0,0,98.3,815,13,6,9,0,0,97.889,821,18,8,14,0,0,98.63,16,11,5,10,0,0,98.071,818,12,7,21,0,9,0.0,822,17,9,16,0,0,98.414,813,16,9,8,0,0,97.751,824,19,10,21,0,5,0.0,823,22,11,17,0,0,99.836
20,1,4,2,7,0,0,96.69,20,1,1,1,0,0,95.854,17,5,1,15,0,0,97.825,8,3,4,3,0,0,95.774,154,9,4,2,0,0,95.9,817,14,7,11,0,0,98.105,13,7,3,21,0,20,0.0,4,2,3,4,0,0,96.303,18,10,6,5,0,0,96.765,807,15,8,6,0,0,97.061,3,6,2,13,0,0,97.96,814,8,5,12,0,0,97.972,815,13,6,9,0,0,97.445,821,18,8,14,0,0,97.683,16,11,5,10,0,0,97.671,818,12,7,21,0,9,0.0,822,17,9,16,0,0,98.155,813,16,9,8,0,0,97.703,824,19,10,21,0,5,0.0,823,22,11,17,0,0,99.77
20,1,4,2,7,0,0,96.767,20,1,1,1,0,0,95.77,17,5,1,15,0,0,97.692,8,3,4,3,0,0,95.773,154,9,4,2,0,0,95.717,817,14,7,11,0,0,97.543,13,7,3,21,0,20,0.0,4,2,3,4,0,0,96.221,18,10,6,5,0,0,96.348,807,15,8,6,0,0,96.804,3,6,2,13,0,0,97.688,814,8,5,12,0,0,97.651,815,13,6,9,0,0,97.676,821,18,8,14,0,0,97.865,16,11,5,10,0,0,97.356,818,12,7,21,0,9,0.0,822,17,9,16,0,0,97.902,813,16,9,8,0,0,97.67,824,19,10,21,0,5,0.0,823,22,11,17,0,0,99.389
